run,steps_survived,final_rabbits,final_foxes,max_rabbits,max_foxes,min_rabbits,min_foxes
1,231,36,0,52,38,8,0
2,814,0,14,114,110,0,2
3,181,1,0,59,75,1,0
4,160,13,0,57,63,5,0
5,200,10,0,66,75,2,0
6,171,28,0,58,53,7,0
7,476,3,0,107,118,1,0
8,196,55,0,67,74,9,0
9,129,0,78,140,211,0,6
10,122,0,24,96,109,0,4
11,501,42,0,133,343,2,0
12,328,0,21,197,312,0,1
13,188,6,0,60,67,2,0
14,347,0,12,128,236,0,1
15,203,15,0,81,77,3,0
16,254,123,0,123,58,8,0
17,245,0,21,83,89,0,1
18,237,23,0,94,93,6,0
19,236,31,0,50,48,5,0
20,106,0,53,129,205,0,7
21,300,36,0,62,61,12,0
22,385,0,10,82,136,0,8
23,337,107,0,107,67,7,0
24,275,38,0,84,103,2,0
25,213,36,0,82,69,4,0
