run,steps_survived,final_rabbits,final_foxes,max_rabbits,max_foxes,min_rabbits,min_foxes
1,3001,0,0,100,20,0,0
2,3001,0,0,100,20,0,0
3,3001,0,0,100,20,0,0
4,3001,0,0,100,20,0,0
5,3001,0,0,100,20,0,0
6,3001,0,0,100,25,0,0
7,3001,0,0,100,20,0,0
8,3001,0,0,100,25,0,0
9,3001,0,0,100,20,0,0
10,3001,0,0,100,20,0,0
11,3001,0,0,100,20,0,0
12,3001,0,0,100,37,0,0
13,3001,0,0,100,57,0,0
14,3001,0,0,100,20,0,0
15,3001,0,0,100,43,0,0
16,3001,0,0,100,59,0,0
17,3001,0,0,100,23,0,0
18,3001,0,0,100,32,0,0
19,3001,0,0,100,34,0,0
20,3001,0,0,100,20,0,0
21,3001,0,0,100,20,0,0
22,3001,0,0,100,24,0,0
23,3001,0,0,100,20,0,0
24,3001,0,0,100,27,0,0
25,3001,0,0,100,20,0,0
